track_id,track_name,duration_ms,release_date,album_type,explicit,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_name
1tTZM7LUDkxcykOVVIGW4W,Where The Stars And Stripes And The Eagle Fly,228200,2002-01-01,album,False,2002.0,0.597,0.773,2.0,-4.053,1.0,0.0288,0.0351,3.85e-05,0.248,0.354,100.009,4.0,Aaron Tippin
2nBY2iQvxOIXrdlJvg7ZPo,Uh Huh,223293,2002-01-01,album,False,2002.0,0.855,0.681,2.0,-4.955,1.0,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699,4.0,B2K
63MKNIWCCxtqnehwFhmYqp,Gots Ta Be,321200,2002-01-01,album,False,2002.0,0.832,0.454,2.0,-4.252,1.0,0.0513,0.0402,0.000497,0.0723,0.69,131.784,4.0,B2K
0hJPZ0v8QxRwGIKiMGKE1G,Take A Message,243866,2002-01-01,album,False,2002.0,0.655,0.611,10.0,-6.54,1.0,0.0402,0.302,4.37e-06,0.111,0.555,80.035,4.0,Remy Shand
2LrvK045zLQyt4s9n1QSBA,Someone To Love You,297360,2002-01-01,album,False,2002.0,0.637,0.678,8.0,-2.21,1.0,0.0345,0.0543,0.0,0.0961,0.426,77.928,1.0,Ruff Endz
2RLpFEf6d0708O7Bqhjyxg,Days Go By,432146,2002-01-01,album,False,2002.0,0.786,0.853,9.0,-8.274,0.0,0.0688,0.0499,0.0872,0.35,0.309,126.99,4.0,Dirty Vegas
4OnTgDqnuFGU73TdKQuDZm,Day & Night (feat. Jadakiss) - Remix,229466,2002-01-01,album,False,2002.0,0.774,0.75,0.0,-7.499,1.0,0.0979,0.13,0.0,0.498,0.809,95.941,4.0,"Jadakiss, Isyss"
5ntkgBVRkW8BZ1cr0acKLD,Single For The Rest Of My Life,235733,2002-01-01,album,False,2002.0,0.721,0.717,6.0,-8.095,1.0,0.0394,0.0796,0.00411,0.334,0.805,147.655,4.0,Isyss
0fPBKo78nKsbIla2ExeefC,Why I Love You,240640,2002-01-01,album,False,2002.0,0.698,0.618,0.0,-5.83,1.0,0.0282,0.0482,0.0,0.116,0.37,89.981,4.0,B2K
1gyee1JuFFiP476LQpRMYU,The Red,238400,2002-01-01,album,False,2002.0,0.509,0.843,1.0,-3.318,0.0,0.0488,0.000671,0.000803,0.348,0.332,140.055,3.0,Chevelle
6NvRxjfYkkT2SpirAlmsjH,No One Knows,278706,2002-01-01,album,False,2002.0,0.507,0.588,0.0,-4.881,1.0,0.0641,0.0359,0.000129,0.373,0.637,170.889,4.0,Queens of the Stone Age
0KqyBk4aVT88TEqBIC8mAP,Girl All the Bad Guys Want,197800,2002-01-01,album,False,2002.0,0.582,0.829,2.0,-5.688,1.0,0.0465,0.000517,0.0,0.266,0.867,130.969,4.0,Bowling For Soup
6dRAAG4sB71NAtVCHJep7s,Send the Pain Below,252360,2002-01-01,album,False,2002.0,0.468,0.851,11.0,-3.617,1.0,0.0398,0.000281,0.00483,0.0644,0.293,92.079,4.0,Chevelle
6ECp64rv50XVz93WvxXMGF,This Love,206200,2002-01-01,album,False,2002.0,0.712,0.862,5.0,-4.612,0.0,0.0378,0.0525,0.0,0.093,0.809,95.051,4.0,Maroon 5
5qII2n90lVdPDcgXEEVHNy,Sunday Morning,244880,2002-01-01,album,False,2002.0,0.608,0.768,0.0,-5.227,1.0,0.0475,0.0913,0.0,0.0629,0.809,88.059,4.0,Maroon 5
5XMjXjwCkJVmk0AHm7z8IV,Jerk It Out,195666,2002-01-01,album,False,2002.0,0.58,0.981,8.0,-2.603,0.0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,4.0,Caesars
55oovDrYcI8EzQxg7mHVrD,Angel - Metro Mix Radio Edit,223040,2003-01-01,compilation,False,2003.0,0.725,0.822,9.0,-10.059,1.0,0.0402,0.011,0.0,0.0938,0.581,127.971,4.0,Lionel Richie
779ooI3rBd0CLqCiiJmtVo,Hero (feat. Josey Scott),200480,2003-01-01,single,False,2003.0,0.427,0.843,4.0,-4.54,1.0,0.0364,0.00216,0.0,0.179,0.304,147.387,3.0,"Josey Scott, Chad Kroeger"
0Q0oeUZbccTCGs0y9CTY9w,Papa Don't Preach,205253,2003-01-01,album,False,2003.0,0.451,0.898,5.0,-2.801,0.0,0.0346,1.52e-05,0.0375,0.112,0.682,143.744,4.0,Kelly Osbourne
5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,186066,2003-01-01,album,False,2003.0,0.795,0.523,1.0,-7.165,1.0,0.0423,0.061,0.0,0.0914,0.855,133.024,4.0,R. Kelly
3ABB9ZDbKhAH5iBYp4bE4x,The Baby,234733,2003-01-01,album,False,2003.0,0.502,0.533,4.0,-6.983,1.0,0.0263,0.312,0.0,0.277,0.281,86.406,4.0,Blake Shelton
76HwNiaQIPdiKkPr9rIblr,Take You Home (feat. Kelis),233226,2003-01-01,single,False,2003.0,0.595,0.639,7.0,-3.159,1.0,0.275,0.0663,0.0,0.0588,0.7,95.912,4.0,"Kelis, Angie Martinez"
1XE1UGRpvvkaFEeqe1OJpw,Don't Wanna Try,245293,2003-01-01,album,False,2003.0,0.655,0.433,5.0,-7.577,0.0,0.0348,0.444,0.0,0.221,0.199,130.127,4.0,Frankie J
40u9RFyKQfXwpPjFzK1bGO,Stupid Girl,189853,2003-01-01,album,False,2003.0,0.43,0.868,0.0,-4.44,1.0,0.0639,0.000119,0.000389,0.0836,0.164,138.807,3.0,Cold
6BIcjFZIVDZxNAcofRFPx4,So Gone,242773,2003-01-01,album,False,2003.0,0.618,0.552,8.0,-6.863,1.0,0.0981,0.176,0.0,0.252,0.586,81.975,4.0,Monica
0EEYgsFx2xUQcFcQrwwEV3,How You Want That (feat. Kelis),265560,2003-01-01,album,False,2003.0,0.895,0.827,8.0,-4.465,1.0,0.0598,0.343,0.000951,0.0435,0.899,101.2,4.0,"Kelis, Loon"
7lrAsaTw9CTh5uSr0fvHOd,Step In the Name of Love - Remix,432146,2003-01-01,album,False,2003.0,0.775,0.53,1.0,-6.564,0.0,0.119,0.2,0.0,0.231,0.775,94.985,4.0,R. Kelly
6Ln2tBK4EnNtMLtYyAZhr7,Knock Knock,257653,2003-01-01,album,False,2003.0,0.777,0.588,10.0,-8.651,1.0,0.373,0.414,4.79e-05,0.146,0.54,88.915,4.0,Monica
